id,name,city,state,nirf_id,have_nirf_data
1,A.K.T. Memorial College of Engineering & Technology,Kallakurichi,Tamil Nadu,IR-E-C-16591,YES
2,A.V.C. College of Engineering,Mayiladuthurai,Tamil Nadu,IR-E-C-27074,YES
3,AAA COLLEGE OF ENGINEERING AND TECHNOLOGY,Sivakasi,Tamil Nadu,IR-E-C-16594,YES
4,Aalim Muhammed Salegh College of Engineering,Thiruvallur,Tamil Nadu,IR-E-C-16571,YES
5,Academy of Maritime Education and Training,CHENGALPATTU,Tamil Nadu,,NO
6,Adhi College of Engineering and Technology,Kancheepuram,Tamil Nadu,IR-E-C-49130,YES
7,Adhiparasakthi College of Engineering,Arcot,Tamil Nadu,IR-E-C-16567,YES
8,Adhiparasakthi Engineering College,Chengalpat,Tamil Nadu,IR-E-C-16487,YES
9,Adhiyamaan College of Engineering(Autonomous),Hosur,Tamil Nadu,IR-E-C-25031,YES
10,Adithya Institute of Technology,Coimbatore,Tamil Nadu,IR-E-I-1030,YES
11,Agni College of Technology,Chennai,Tamil Nadu,IR-E-I-1078,YES
12,AKSHAYA COLLEGE OF ENGINEERING AND TECHNOLOGY,Coimbatore,Tamil Nadu,IR-E-C-36985,YES
13,Alagappa Chettiar Government College of Engineering and Technology,Sivaganga,Tamil Nadu,IR-E-C-26789,YES
14,AL-Ameen Engineering College,Erode,Tamil Nadu,IR-E-C-36951,YES
15,Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,,NO
16,ANAND INSTITUTE OF HIGHER TECHNOLOGY,Chennai,Tamil Nadu,IR-E-C-16618,YES
17,Anjalai Ammal Mahalingam Engineering College,Thiruvarur,Tamil Nadu,IR-E-C-25004,YES
18,Anna University,Chennai,Tamil Nadu,IR-E-U-0439,YES
19,Annai College of Engineering and Technology,Thanjavur,Tamil Nadu,IR-E-C-16594,YES
20,Annamalai University,Annamalainagar,Tamil Nadu,IR-E-U-0443,YES
21,Arasu Engineering College,Thanjavur,Tamil Nadu,IR-E-C-24993,YES
22,ARIFA INSTITUTE OF TECHNOLOGY,NAGAPATTINAM,Tamil Nadu,IR-E-C-49138,YES
23,ARJUN COLLEGE OF TECHNOLOGY,COIMBATORE,Tamil Nadu,IR-E-C-49129,YES
24,Arulmigu Meenakshi Amman College of Engineering,Tiruvannamalai,Tamil Nadu,IR-E-C-16506,YES
25,Arulmurugan College of Engineering,KARUR,Tamil Nadu,IR-E-I-1119,YES
26,Arunachala College of Engineering for Women,Kanniyakumari,Tamil Nadu,IR-E-C-27061,YES
27,Asan Memorial College of Engineering and Technology,Chengalpattu,Tamil Nadu,IR-E-C-16486,YES
28,ASIAN COLLEGE OF ENGINEERING AND TECHNOLOGY,Coimbatore,Tamil Nadu,IR-E-C-49130,YES
29,AVS COLLEGE OF TECHNOLOGY ( FORMERLY AVS TECHNICAL CAMPUS),SALEM,Tamil Nadu,IR-E-C-48266,YES
30,AVS Engineering College,Salem,Tamil Nadu,IR-E-C-36970,YES
31,B. S. Abdur Rahman Crescent Institute of Science and Technology,Chennai,Tamil Nadu,,NO
32,BETHLAHEM INSTITUTE OF ENGINEERING,KANYAKUMARI,Tamil Nadu,IR-E-C-37031,YES
33,BHARATHIYAR INSTITUTE OF ENGINEERING FOR WOMEN,SALEM,Tamil Nadu,IR-E-C-37076,YES
34,BUILDERS ENGINEERING COLLEGE,Kangeyam,Tamil Nadu,IR-E-C-37104,YES
35,C K College of Engineering & Technology (Formerly Sri Jayaram Engineering College),Cuddalore,Tamil Nadu,IR-E-C-25014,YES
36,C. Abdul Hakeem College of Engineering & Technology,Melvisharam,Tamil Nadu,IR-E-C-16521,YES
37,C.S.I.Institute of Technology,Kanniyakumari,Tamil Nadu,IR-E-C-27093,YES
38,Cape Institute of Technology,Tirunelveli,Tamil Nadu,IR-E-C-16482,YES
39,CARE College of Engineering,Tiruchirappalli,Tamil Nadu,IR-E-I-1119,YES
40,Central Institute of Plastics Engineering and Technology,Chennai,Tamil Nadu,IR-E-C-36999,YES
41,Chennai Institute of Technology,Chennai,Tamil Nadu,IR-E-C-16576,YES
42,Chettinad College of Engineering & Technology,Karur,Tamil Nadu,IR-E-C-37006,YES
43,Christ The King Engineering College,Coimbatore,Tamil Nadu,IR-E-C-36941,YES
44,"Christian College of Engineering and Technology, Oddanchatram, Palani",Dindigul,Tamil Nadu,IR-E-C-37063,YES
45,Coimbatore Institute of Engineering and Technology,Coimbatore,Tamil Nadu,IR-E-C-37029,YES
46,Coimbatore Institute of Technology,Coimbatore,Tamil Nadu,IR-E-C-49138,YES
47,College of Food and Dairy Technology,Chennai,Tamil Nadu,IR-E-C-36947,YES
48,CSI College of Engineering,The Nilgiris,Tamil Nadu,IR-E-C-37016,YES
49,D. M. I. College of Engineering,Kancheepuram,Tamil Nadu,IR-E-C-16503,YES
50,Dhaanish Ahmed College of Engineering,Kancheepuram,Tamil Nadu,IR-E-C-16615,YES
51,Dhanalakshmi College of Engineering,Chennai,Tamil Nadu,IR-E-C-16567,YES
52,Dhanalakshmi Srinivasan College of Engineering,Coimbatore,Tamil Nadu,IR-E-C-16625,YES
53,DHANALAKSHMI SRINIVASAN COLLEGE OF ENGINEERING AND TECHNOLOGY,Mamallapuram,Tamil Nadu,IR-E-C-16625,YES
54,Dhanalakshmi Srinivasan Engineering College,Perambalur,Tamil Nadu,IR-E-C-24984,YES
55,Dhirajlal Gandhi College of Technology,Salem,Tamil Nadu,IR-E-C-45299,YES
56,DMI Engineering College,Kanniyakumari,Tamil Nadu,IR-E-C-16463,YES
57,Dr. M. G. R. Educational and Research Institute,Chennai,Tamil Nadu,,NO
58,Dr. Mahalingam College of Engineering and Technology,Pollachi,Tamil Nadu,IR-E-C-48273,YES
59,Dr. N. G. P. Institute of Technology,Coimbatore,Tamil Nadu,IR-E-C-36929,YES
60,Dr. Sivanthi Aditanar College of Engineering,Tiruchendur,Tamil Nadu,IR-E-C-27038,YES
61,Dr.G.U.Pope College of Engineering,TUTICORIN,Tamil Nadu,IR-E-C-27084,YES
62,Dr.Navalar Nedunchezhiyan College of Engineering,Cuddalore,Tamil Nadu,IR-E-C-16567,YES
63,E.G.S. Pillay Engineering College,Nagapattinam,Tamil Nadu,IR-E-C-36944,YES
64,Easwari Engineering College,Chennai,Tamil Nadu,IR-E-C-16560,YES
65,Er. Perumal Manimekalai College of Engineering,Krishnagiri,Tamil Nadu,IR-E-C-16525,YES
66,Erode Sengunthar Engineering College,Erode,Tamil Nadu,IR-E-C-37099,YES
67,EXCEL ENGINEERING COLLEGE,Namakkal,Tamil Nadu,IR-E-C-36930,YES
68,"Fatima Michael College of Engineering and Technology, Madurai",Madurai,Tamil Nadu,IR-E-C-26784,YES
69,FRANCIS XAVIER ENGINEERING COLLEGE,Tirunelveli,Tamil Nadu,IR-E-C-27091,YES
70,G. K. M. College of Engineering and Technology,Chennai,Tamil Nadu,IR-E-C-16521,YES
71,Ganadipathy Tulsi's Engineering College,Vellore,Tamil Nadu,IR-E-C-16487,YES
72,Gnanamani College of Technology,Namakkal,Tamil Nadu,IR-E-C-37038,YES
73,Gojan School of Business and Technology,Chennai,Tamil Nadu,IR-E-C-16580,YES
74,Government College of Engineering,Krishnagiri,Tamil Nadu,IR-E-C-37003,YES
75,Government College of Engineering,Tirunelveli,Tamil Nadu,IR-E-C-37003,YES
76,Government College of Engineering,Salem,Tamil Nadu,IR-E-C-37003,YES
77,Government College of Engineering,Theni,Tamil Nadu,IR-E-C-37003,YES
78,Government College of Engineering Dharmapuri,Dharmapuri,Tamil Nadu,IR-E-C-49133,YES
79,GOVERNMENT COLLEGE OF ENGINEERING SRIRANGAM,Tiruchirappalli,Tamil Nadu,IR-E-C-49142,YES
80,GOVERNMENT COLLEGE OF ENGINEERING THANJAVUR,Thanjavur,Tamil Nadu,IR-E-C-49141,YES
81,Government College of Technology,Coimbatore,Tamil Nadu,IR-E-C-36975,YES
82,GRT Institute of Engineering and Technology,Thiruvallur,Tamil Nadu,IR-E-C-16465,YES
83,Hindustan Institute of Technology and Science (HITS),Chennai,Tamil Nadu,IR-E-C-27087,YES
84,Hindusthan College of Engineering and Technology,Coimbatore,Tamil Nadu,IR-E-C-37063,YES
85,Hindusthan Institute of Technology,Coimbatore,Tamil Nadu,IR-E-C-27064,YES
86,Holycross Engineering College,Thoothukudi,Tamil Nadu,IR-E-C-16463,YES
87,I. F. E. T. College of Engineering,Viluppuram,Tamil Nadu,IR-E-C-16543,YES
88,Idhaya Engineering College for Women,Kallakurichi,Tamil Nadu,IR-E-C-16523,YES
89,Imayam College of Engineering,Thuraiyur,Tamil Nadu,IR-E-C-25031,YES
90,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",Chennai,Tamil Nadu,,NO
91,Indian Institute of Technology Madras,Chennai,Tamil Nadu,IR-E-C-49138,YES
92,Infant Jesus College of Engineering,Thoothukkudi,Tamil Nadu,IR-E-C-25038,YES
93,Info Institute of Engineering,Coimbatore,Tamil Nadu,IR-E-C-37031,YES
94,Institute of Road and Transport Technology,Erode,Tamil Nadu,IR-E-C-36974,YES
95,J. N. N. Institute of Engineering,Thiruvallur,Tamil Nadu,IR-E-C-37031,YES
96,J.P.College of Engineering,TENKASI,Tamil Nadu,IR-E-C-27051,YES
97,Jai Shriram Engineering College,Tirupur,Tamil Nadu,IR-E-C-16548,YES
98,Jansons Institute of Technology,Coimbatore,Tamil Nadu,IR-E-C-37021,YES
99,JAYA ENGINEERING COLLEGE,Chennai,Tamil Nadu,IR-E-C-16577,YES
100,Jaya Institute of Technology,Thiruvallur,Tamil Nadu,IR-E-I-1030,YES
101,Jayaraj Annapackiam CSI College of Engineering,THOOTHUKUDI,Tamil Nadu,IR-E-C-49137,YES
102,JCT College of Engineering and Technology,Coimbatore,Tamil Nadu,IR-E-C-37055,YES
103,Jeppiaar Engineering College,Chennai,Tamil Nadu,IR-E-C-16539,YES
104,JEPPIAAR INSTITUTE OF TECHNOLOGY,Kanchipuram,Tamil Nadu,IR-E-C-50925,YES
105,Jerusalem College of Engineering,Chennai,Tamil Nadu,IR-E-C-16525,YES
106,JKK Munirajah College of Technology,ERODE,Tamil Nadu,IR-E-C-37051,YES
107,JKKN College of Engineering and Technology,Namakkal,Tamil Nadu,IR-E-C-37055,YES
108,K. L. N. College of Engineering,Sivaganga,Tamil Nadu,IR-E-C-26785,YES
109,K. Ramakrishnan College of Engineering,Samayapuram,Tamil Nadu,IR-E-C-25020,YES
110,K. Ramakrishnan College of Technology,Tiruchirappalli,Tamil Nadu,IR-E-C-25054,YES
111,K. S. R. College of Engineering,Tiruchengode,Tamil Nadu,IR-E-C-26785,YES
112,K.S.RANGASAMY COLLEGE OF TECHNOLOGY,Tiruchengode,Tamil Nadu,IR-E-C-39247,YES
113,Kalaignar Karunanidhi Institute of Technology,COIMBATORE,Tamil Nadu,IR-E-C-37070,YES
114,Kalasalingam Academy of Research and Education,Krishnan Koil,Tamil Nadu,,NO
115,KAMARAJ COLLEGE OF ENGINEERING & TECHNOLOGY,Virudhunagar,Tamil Nadu,IR-E-C-27075,YES
116,Karpaga Vinayaga College of Engineering and Technology,Chengalpet,Tamil Nadu,IR-E-C-16599,YES
117,Karpagam College of Engineering,Coimbatore,Tamil Nadu,IR-E-C-25031,YES
118,Karpagam Institute of Technology,Coimbatore,Tamil Nadu,IR-E-C-37035,YES
119,Karunya Institute of Technology and Sciences,Coimbatore,Tamil Nadu,IR-E-C-27087,YES
120,Kathir College of Engineering,Neelambur,Tamil Nadu,IR-E-I-1119,YES
121,KCG COLLEGE OF TECHNOLOGY,Chennai,Tamil Nadu,IR-E-C-16611,YES
122,KGISL INSTITUTE OF TECHNOLOGY,Coimbatore,Tamil Nadu,IR-E-C-36989,YES
123,Kings College of Engineering,Pudukkottai,Tamil Nadu,IR-E-C-25038,YES
124,KINGS ENGINEERING COLLEGE,Sriperumbudur,Tamil Nadu,IR-E-C-37065,YES
125,Knowledge Institute of Technology,Salem,Tamil Nadu,IR-E-C-37058,YES
126,Kongu Engineering College,Perundurai,Tamil Nadu,IR-E-C-37065,YES
127,KONGUNADU COLLEGE OF ENGINEERING AND TECHNOLOGY,Tiruchirappalli,Tamil Nadu,IR-E-C-27041,YES
128,KPR Institute of Engineering and Technology,Coimbatore,Tamil Nadu,IR-E-C-36999,YES
129,Krishnaswamy College of Engineering,Cuddalore,Tamil Nadu,IR-E-C-25020,YES
130,Kumaraguru College of Technology,Coimbatore,Tamil Nadu,IR-E-C-36926,YES
131,"Latha Mathavan Engineering College, Madurai",Madurai,Tamil Nadu,IR-E-C-26797,YES
132,Loyola Institute of Technology,Chennai,Tamil Nadu,IR-E-C-16518,YES
133,Loyola Institute of Technology and Science,Nagercoil,Tamil Nadu,IR-E-C-27087,YES
134,Loyola-ICAM College of Engineering and Technology,Chennai,Tamil Nadu,IR-E-C-16477,YES
135,M. A. M. College of Engineering,Tiruchirappalli,Tamil Nadu,IR-E-C-25012,YES
136,M. A. M. College of Engineering and Technology,Tiruchirappalli,Tamil Nadu,IR-E-C-16521,YES
137,M. I. E. T. Engineering College,Tiruchirappalli,Tamil Nadu,IR-E-C-25046,YES
138,M.A.M. School of Engineering (New),Tiruchirappalli,Tamil Nadu,IR-E-C-25007,YES
139,M.Kumarasamy College of Engineering,Karur,Tamil Nadu,IR-E-C-25020,YES
140,M.P.Nachimuthu M.Jaganathan Engineering College,Erode,Tamil Nadu,,NO
141,Maha Bharathi Engineering College,Viluppuram,Tamil Nadu,IR-E-C-16487,YES
142,MAHAKAVI BHARATHIYAR COLLEGE OF ENGINEERING & TECHNOLOGY,VASUDEVANALLUR,Tamil Nadu,IR-E-C-36985,YES
143,Mahalakshmi Engineering College (New),chennai,Tamil Nadu,IR-E-C-16626,YES
144,Mahath Amma Institute of Engineering and Technology,Pudukkottai,Tamil Nadu,IR-E-C-25005,YES
145,Mahendra College of Engineering,Salem,Tamil Nadu,IR-E-C-37074,YES
146,Mahendra Engineering College,Namakkal,Tamil Nadu,IR-E-C-36958,YES
147,Mahendra Institute of Technology,Namakkal,Tamil Nadu,IR-E-C-37004,YES
148,Mailam Engineering College,Villupuram,Tamil Nadu,IR-E-C-16468,YES
149,MANGAYARKARASI COLLEGE OF ENGINEERING,MADURAI,Tamil Nadu,IR-E-C-49137,YES
150,Marthandam College of Engineering and Technology,Marthandam,Tamil Nadu,IR-E-C-36985,YES
151,Meenakshi College of Engineering,Chennai,Tamil Nadu,IR-E-C-16551,YES
